fips,candidate,party,candidatevotes,mode
5017,JOHN MCCAIN,REPUBLICAN,2119,TOTAL
5017,OTHER,OTHER,46,TOTAL
5019,BARACK OBAMA,DEMOCRAT,4267,TOTAL
5019,JOHN MCCAIN,REPUBLICAN,4608,TOTAL
5019,OTHER,OTHER,219,TOTAL
5021,BARACK OBAMA,DEMOCRAT,2244,TOTAL
5021,JOHN MCCAIN,REPUBLICAN,3032,TOTAL
5021,OTHER,OTHER,235,TOTAL
5023,BARACK OBAMA,DEMOCRAT,2951,TOTAL
5023,JOHN MCCAIN,REPUBLICAN,7962,TOTAL
5023,OTHER,OTHER,425,TOTAL
5025,BARACK OBAMA,DEMOCRAT,911,TOTAL
5025,JOHN MCCAIN,REPUBLICAN,2451,TOTAL
5025,OTHER,OTHER,143,TOTAL
5027,BARACK OBAMA,DEMOCRAT,3554,TOTAL
5027,JOHN MCCAIN,REPUBLICAN,5861,TOTAL
5027,OTHER,OTHER,143,TOTAL
5029,BARACK OBAMA,DEMOCRAT,3149,TOTAL
5029,JOHN MCCAIN,REPUBLICAN,4691,TOTAL
5029,OTHER,OTHER,298,TOTAL
5031,BARACK OBAMA,DEMOCRAT,11294,TOTAL
5031,JOHN MCCAIN,REPUBLICAN,18881,TOTAL
5031,OTHER,OTHER,793,TOTAL
5033,BARACK OBAMA,DEMOCRAT,5238,TOTAL
5033,JOHN MCCAIN,REPUBLICAN,14688,TOTAL
5033,OTHER,OTHER,606,TOTAL
5035,BARACK OBAMA,DEMOCRAT,10330,TOTAL
5035,JOHN MCCAIN,REPUBLICAN,7650,TOTAL
5035,OTHER,OTHER,275,TOTAL
5037,BARACK OBAMA,DEMOCRAT,2580,TOTAL
5037,JOHN MCCAIN,REPUBLICAN,4393,TOTAL
5037,OTHER,OTHER,157,TOTAL
5039,BARACK OBAMA,DEMOCRAT,1471,TOTAL
5039,JOHN MCCAIN,REPUBLICAN,1757,TOTAL
5039,OTHER,OTHER,90,TOTAL
5041,BARACK OBAMA,DEMOCRAT,2569,TOTAL
5041,JOHN MCCAIN,REPUBLICAN,1999,TOTAL
5041,OTHER,OTHER,110,TOTAL
5043,BARACK OBAMA,DEMOCRAT,2598,TOTAL
5043,JOHN MCCAIN,REPUBLICAN,3860,TOTAL
5043,OTHER,OTHER,152,TOTAL
5045,BARACK OBAMA,DEMOCRAT,14955,TOTAL
5045,JOHN MCCAIN,REPUBLICAN,25362,TOTAL
5045,OTHER,OTHER,862,TOTAL
5047,BARACK OBAMA,DEMOCRAT,1869,TOTAL
5047,JOHN MCCAIN,REPUBLICAN,4411,TOTAL
5047,OTHER,OTHER,195,TOTAL
5049,BARACK OBAMA,DEMOCRAT,1819,TOTAL
5049,JOHN MCCAIN,REPUBLICAN,2702,TOTAL
5049,OTHER,OTHER,155,TOTAL
5051,BARACK OBAMA,DEMOCRAT,15899,TOTAL
5051,JOHN MCCAIN,REPUBLICAN,26825,TOTAL
5051,OTHER,OTHER,995,TOTAL
5053,BARACK OBAMA,DEMOCRAT,1562,TOTAL
5053,JOHN MCCAIN,REPUBLICAN,5023,TOTAL
5053,OTHER,OTHER,208,TOTAL
5055,BARACK OBAMA,DEMOCRAT,4541,TOTAL
5055,JOHN MCCAIN,REPUBLICAN,8578,TOTAL
5055,OTHER,OTHER,493,TOTAL
5057,BARACK OBAMA,DEMOCRAT,2869,TOTAL
5057,JOHN MCCAIN,REPUBLICAN,4273,TOTAL
5057,OTHER,OTHER,207,TOTAL
5059,BARACK OBAMA,DEMOCRAT,4288,TOTAL
5059,JOHN MCCAIN,REPUBLICAN,7209,TOTAL
5059,OTHER,OTHER,458,TOTAL
5061,BARACK OBAMA,DEMOCRAT,1746,TOTAL
5061,JOHN MCCAIN,REPUBLICAN,2957,TOTAL
5061,OTHER,OTHER,143,TOTAL
5063,BARACK OBAMA,DEMOCRAT,3688,TOTAL
5063,JOHN MCCAIN,REPUBLICAN,8255,TOTAL
5063,OTHER,OTHER,356,TOTAL
5065,BARACK OBAMA,DEMOCRAT,1792,TOTAL
5065,JOHN MCCAIN,REPUBLICAN,3193,TOTAL
5065,OTHER,OTHER,233,TOTAL
5067,BARACK OBAMA,DEMOCRAT,2207,TOTAL
5067,JOHN MCCAIN,REPUBLICAN,3118,TOTAL
5067,OTHER,OTHER,257,TOTAL
5069,BARACK OBAMA,DEMOCRAT,18465,TOTAL
5069,JOHN MCCAIN,REPUBLICAN,10655,TOTAL
5069,OTHER,OTHER,569,TOTAL
5071,BARACK OBAMA,DEMOCRAT,3034,TOTAL
5071,JOHN MCCAIN,REPUBLICAN,4922,TOTAL
5071,OTHER,OTHER,224,TOTAL
5073,BARACK OBAMA,DEMOCRAT,1133,TOTAL
5073,JOHN MCCAIN,REPUBLICAN,1685,TOTAL
5073,OTHER,OTHER,84,TOTAL
5075,BARACK OBAMA,DEMOCRAT,2138,TOTAL
5075,JOHN MCCAIN,REPUBLICAN,3357,TOTAL
5075,OTHER,OTHER,335,TOTAL
5077,BARACK OBAMA,DEMOCRAT,2263,TOTAL
5077,JOHN MCCAIN,REPUBLICAN,1454,TOTAL
5077,OTHER,OTHER,46,TOTAL
5079,BARACK OBAMA,DEMOCRAT,1710,TOTAL
5079,JOHN MCCAIN,REPUBLICAN,2513,TOTAL
5079,OTHER,OTHER,183,TOTAL
5081,BARACK OBAMA,DEMOCRAT,1753,TOTAL
5081,JOHN MCCAIN,REPUBLICAN,3247,TOTAL
5081,OTHER,OTHER,152,TOTAL
5083,BARACK OBAMA,DEMOCRAT,2286,TOTAL
5083,JOHN MCCAIN,REPUBLICAN,5350,TOTAL
5083,OTHER,OTHER,271,TOTAL
5085,BARACK OBAMA,DEMOCRAT,5968,TOTAL
5085,JOHN MCCAIN,REPUBLICAN,17242,TOTAL
5085,OTHER,OTHER,531,TOTAL
5087,BARACK OBAMA,DEMOCRAT,2144,TOTAL
5087,JOHN MCCAIN,REPUBLICAN,3972,TOTAL
5087,OTHER,OTHER,212,TOTAL
5089,BARACK OBAMA,DEMOCRAT,2384,TOTAL
5089,JOHN MCCAIN,REPUBLICAN,4524,TOTAL
5089,OTHER,OTHER,254,TOTAL
5091,BARACK OBAMA,DEMOCRAT,4869,TOTAL
5091,JOHN MCCAIN,REPUBLICAN,9913,TOTAL
5091,OTHER,OTHER,281,TOTAL
5093,BARACK OBAMA,DEMOCRAT,6667,TOTAL
5093,JOHN MCCAIN,REPUBLICAN,6976,TOTAL
5093,OTHER,OTHER,367,TOTAL
5095,BARACK OBAMA,DEMOCRAT,1615,TOTAL
5095,JOHN MCCAIN,REPUBLICAN,1754,TOTAL
5095,OTHER,OTHER,80,TOTAL
5097,BARACK OBAMA,DEMOCRAT,1092,TOTAL
5097,JOHN MCCAIN,REPUBLICAN,2365,TOTAL
5097,OTHER,OTHER,165,TOTAL
5099,BARACK OBAMA,DEMOCRAT,1474,TOTAL
5099,JOHN MCCAIN,REPUBLICAN,2062,TOTAL
5099,OTHER,OTHER,99,TOTAL
5101,BARACK OBAMA,DEMOCRAT,1182,TOTAL
5101,JOHN MCCAIN,REPUBLICAN,2588,TOTAL
5101,OTHER,OTHER,190,TOTAL
5103,BARACK OBAMA,DEMOCRAT,4346,TOTAL
5103,JOHN MCCAIN,REPUBLICAN,5427,TOTAL
5103,OTHER,OTHER,187,TOTAL
5105,BARACK OBAMA,DEMOCRAT,1352,TOTAL
5105,JOHN MCCAIN,REPUBLICAN,2743,TOTAL
5105,OTHER,OTHER,184,TOTAL
5107,BARACK OBAMA,DEMOCRAT,5695,TOTAL
5107,JOHN MCCAIN,REPUBLICAN,3097,TOTAL
5107,OTHER,OTHER,177,TOTAL
5109,BARACK OBAMA,DEMOCRAT,1089,TOTAL
5109,JOHN MCCAIN,REPUBLICAN,2727,TOTAL
5109,OTHER,OTHER,150,TOTAL
5111,BARACK OBAMA,DEMOCRAT,2742,TOTAL
5111,JOHN MCCAIN,REPUBLICAN,4903,TOTAL
5111,OTHER,OTHER,283,TOTAL
5113,BARACK OBAMA,DEMOCRAT,1957,TOTAL
5113,JOHN MCCAIN,REPUBLICAN,5473,TOTAL
5113,OTHER,OTHER,251,TOTAL
5115,BARACK OBAMA,DEMOCRAT,6002,TOTAL
5115,JOHN MCCAIN,REPUBLICAN,15568,TOTAL
5115,OTHER,OTHER,509,TOTAL
5117,BARACK OBAMA,DEMOCRAT,1048,TOTAL
5117,JOHN MCCAIN,REPUBLICAN,2223,TOTAL
5117,OTHER,OTHER,110,TOTAL
5119,BARACK OBAMA,DEMOCRAT,88854,TOTAL
5119,JOHN MCCAIN,REPUBLICAN,70212,TOTAL
5119,OTHER,OTHER,2277,TOTAL
5121,BARACK OBAMA,DEMOCRAT,2469,TOTAL
5121,JOHN MCCAIN,REPUBLICAN,3615,TOTAL
5121,OTHER,OTHER,235,TOTAL
5123,BARACK OBAMA,DEMOCRAT,5486,TOTAL
5123,JOHN MCCAIN,REPUBLICAN,3917,TOTAL
5123,OTHER,OTHER,102,TOTAL
5125,BARACK OBAMA,DEMOCRAT,12695,TOTAL
5125,JOHN MCCAIN,REPUBLICAN,30981,TOTAL
5125,OTHER,OTHER,977,TOTAL
5127,BARACK OBAMA,DEMOCRAT,1053,TOTAL
5127,JOHN MCCAIN,REPUBLICAN,2791,TOTAL
5127,OTHER,OTHER,151,TOTAL
5129,BARACK OBAMA,DEMOCRAT,961,TOTAL
5129,JOHN MCCAIN,REPUBLICAN,2726,TOTAL
5129,OTHER,OTHER,160,TOTAL
5131,BARACK OBAMA,DEMOCRAT,13673,TOTAL
5131,JOHN MCCAIN,REPUBLICAN,28637,TOTAL
5131,OTHER,OTHER,902,TOTAL
5133,BARACK OBAMA,DEMOCRAT,1291,TOTAL
5133,JOHN MCCAIN,REPUBLICAN,3125,TOTAL
5133,OTHER,OTHER,164,TOTAL
5135,BARACK OBAMA,DEMOCRAT,2436,TOTAL
5135,JOHN MCCAIN,REPUBLICAN,4535,TOTAL
5135,OTHER,OTHER,281,TOTAL
5137,BARACK OBAMA,DEMOCRAT,1598,TOTAL
5137,JOHN MCCAIN,REPUBLICAN,3534,TOTAL
5137,OTHER,OTHER,192,TOTAL
5139,BARACK OBAMA,DEMOCRAT,6190,TOTAL
5139,JOHN MCCAIN,REPUBLICAN,10677,TOTAL
5139,OTHER,OTHER,312,TOTAL
5141,BARACK OBAMA,DEMOCRAT,2151,TOTAL
5141,JOHN MCCAIN,REPUBLICAN,4276,TOTAL
5141,OTHER,OTHER,276,TOTAL
5143,BARACK OBAMA,DEMOCRAT,29021,TOTAL
5143,JOHN MCCAIN,REPUBLICAN,37963,TOTAL
5143,OTHER,OTHER,1396,TOTAL
5145,BARACK OBAMA,DEMOCRAT,6732,TOTAL
5145,JOHN MCCAIN,REPUBLICAN,19467,TOTAL
5145,OTHER,OTHER,756,TOTAL
5147,BARACK OBAMA,DEMOCRAT,1412,TOTAL
5147,JOHN MCCAIN,REPUBLICAN,1206,TOTAL
5147,OTHER,OTHER,143,TOTAL
5149,BARACK OBAMA,DEMOCRAT,2003,TOTAL
5149,JOHN MCCAIN,REPUBLICAN,3808,TOTAL
5149,OTHER,OTHER,225,TOTAL
6001,BARACK OBAMA,DEMOCRAT,489106,TOTAL
6001,JOHN MCCAIN,REPUBLICAN,119555,TOTAL
6001,OTHER,OTHER,12368,TOTAL
6003,BARACK OBAMA,DEMOCRAT,422,TOTAL
6003,JOHN MCCAIN,REPUBLICAN,252,TOTAL
6003,OTHER,OTHER,18,TOTAL
6005,BARACK OBAMA,DEMOCRAT,7813,TOTAL
6005,JOHN MCCAIN,REPUBLICAN,10561,TOTAL
6005,OTHER,OTHER,436,TOTAL
6007,BARACK OBAMA,DEMOCRAT,49013,TOTAL
6007,JOHN MCCAIN,REPUBLICAN,46706,TOTAL
6007,OTHER,OTHER,2606,TOTAL
6009,BARACK OBAMA,DEMOCRAT,9813,TOTAL
6009,JOHN MCCAIN,REPUBLICAN,12835,TOTAL
6009,OTHER,OTHER,658,TOTAL
6011,BARACK OBAMA,DEMOCRAT,2569,TOTAL
6011,JOHN MCCAIN,REPUBLICAN,3733,TOTAL
6011,OTHER,OTHER,127,TOTAL
6013,BARACK OBAMA,DEMOCRAT,306983,TOTAL
6013,JOHN MCCAIN,REPUBLICAN,136436,TOTAL
6013,OTHER,OTHER,8231,TOTAL
6015,BARACK OBAMA,DEMOCRAT,4323,TOTAL
6015,JOHN MCCAIN,REPUBLICAN,4967,TOTAL
6015,OTHER,OTHER,241,TOTAL
6017,BARACK OBAMA,DEMOCRAT,40529,TOTAL
