fips,party,data
6113,LIBERTARIAN,1206
6113,OTHER,651
6113,REPUBLICAN,27292
6115,DEMOCRAT,11230
6115,GREEN,124
6115,LIBERTARIAN,510
6115,OTHER,256
6115,REPUBLICAN,17676
8001,DEMOCRAT,134202
8001,GREEN,744
8001,LIBERTARIAN,3731
8001,OTHER,2406
8001,REPUBLICAN,95657
8003,DEMOCRAT,3759
8003,GREEN,23
8003,LIBERTARIAN,90
8003,OTHER,123
8003,REPUBLICAN,3813
8005,DEMOCRAT,213607
8005,GREEN,926
8005,LIBERTARIAN,5423
8005,OTHER,2904
8005,REPUBLICAN,127323
8007,DEMOCRAT,3738
8007,GREEN,19
8007,LIBERTARIAN,120
8007,OTHER,78
8007,REPUBLICAN,5189
8009,DEMOCRAT,317
8009,GREEN,3
8009,LIBERTARIAN,26
8009,OTHER,12
8009,REPUBLICAN,1867
8011,DEMOCRAT,732
8011,GREEN,6
8011,LIBERTARIAN,15
8011,OTHER,18
8011,REPUBLICAN,1503
8013,DEMOCRAT,159089
8013,GREEN,697
8013,LIBERTARIAN,2539
8013,OTHER,1285
8013,REPUBLICAN,42501
8014,DEMOCRAT,29077
8014,GREEN,104
8014,LIBERTARIAN,772
8014,OTHER,384
8014,REPUBLICAN,16295
8015,DEMOCRAT,7160
8015,GREEN,46
8015,LIBERTARIAN,189
8015,OTHER,101
8015,REPUBLICAN,6222
8017,DEMOCRAT,131
8017,GREEN,0
8017,LIBERTARIAN,6
8017,OTHER,6
8017,REPUBLICAN,993
8019,DEMOCRAT,3604
8019,GREEN,23
8019,LIBERTARIAN,113
8019,OTHER,54
8019,REPUBLICAN,2754
8021,DEMOCRAT,1959
8021,GREEN,9
8021,LIBERTARIAN,34
8021,OTHER,45
8021,REPUBLICAN,2286
8023,DEMOCRAT,1311
8023,GREEN,4
8023,LIBERTARIAN,15
8023,OTHER,23
8023,REPUBLICAN,741
8025,DEMOCRAT,437
8025,GREEN,0
8025,LIBERTARIAN,22
8025,OTHER,20
8025,REPUBLICAN,1271
8027,DEMOCRAT,1112
8027,GREEN,5
8027,LIBERTARIAN,29
8027,OTHER,15
8027,REPUBLICAN,2474
8029,DEMOCRAT,5887
8029,GREEN,45
8029,LIBERTARIAN,218
8029,OTHER,139
8029,REPUBLICAN,13081
8031,DEMOCRAT,313293
8031,GREEN,1230
8031,LIBERTARIAN,4870
8031,OTHER,2818
8031,REPUBLICAN,71618
8033,DEMOCRAT,341
8033,GREEN,1
8033,LIBERTARIAN,5
8033,OTHER,13
8033,REPUBLICAN,1089
8035,DEMOCRAT,104653
8035,GREEN,432
8035,LIBERTARIAN,3715
8035,OTHER,1535
8035,REPUBLICAN,121270
8037,DEMOCRAT,18588
8037,GREEN,78
8037,LIBERTARIAN,377
8037,OTHER,205
8037,REPUBLICAN,9892
8039,DEMOCRAT,4490
8039,GREEN,31
8039,LIBERTARIAN,306
8039,OTHER,129
8039,REPUBLICAN,14027
8041,DEMOCRAT,161941
8041,GREEN,1135
8041,LIBERTARIAN,9264
8041,OTHER,3683
8041,REPUBLICAN,202828
8043,DEMOCRAT,7369
8043,GREEN,59
8043,LIBERTARIAN,397
8043,OTHER,215
8043,REPUBLICAN,17517
8045,DEMOCRAT,15427
8045,GREEN,99
8045,LIBERTARIAN,424
8045,OTHER,237
8045,REPUBLICAN,14717
8047,DEMOCRAT,2223
8047,GREEN,17
8047,LIBERTARIAN,70
8047,OTHER,43
8047,REPUBLICAN,1833
8049,DEMOCRAT,4710
8049,GREEN,31
8049,LIBERTARIAN,174
8049,OTHER,72
8049,REPUBLICAN,4883
8051,DEMOCRAT,7132
8051,GREEN,39
8051,LIBERTARIAN,210
8051,OTHER,74
8051,REPUBLICAN,3735
8053,DEMOCRAT,255
8053,GREEN,1
8053,LIBERTARIAN,10
8053,OTHER,13
8053,REPUBLICAN,353
8055,DEMOCRAT,2076
8055,GREEN,12
8055,LIBERTARIAN,71
8055,OTHER,44
8055,REPUBLICAN,2203
8057,DEMOCRAT,175
8057,GREEN,2
8057,LIBERTARIAN,12
8057,OTHER,6
8057,REPUBLICAN,681
8059,DEMOCRAT,218396
8059,GREEN,1089
