year,state,county_name,county_fips,candidate,party,candidatevotes,totalvotes,mode
2016,ALABAMA,MARSHALL,1095,OTHER,OTHER,1166,35316,TOTAL
2016,ALABAMA,MOBILE,1097,HILLARY CLINTON,DEMOCRAT,72186,172737,TOTAL
2016,ALABAMA,MOBILE,1097,DONALD TRUMP,REPUBLICAN,95116,172737,TOTAL
2016,ALABAMA,MOBILE,1097,OTHER,OTHER,5435,172737,TOTAL
2016,ALABAMA,MONROE,1099,HILLARY CLINTON,DEMOCRAT,4332,10271,TOTAL
2016,ALABAMA,MONROE,1099,DONALD TRUMP,REPUBLICAN,5795,10271,TOTAL
2016,ALABAMA,MONROE,1099,OTHER,OTHER,144,10271,TOTAL
2016,ALABAMA,MONTGOMERY,1101,HILLARY CLINTON,DEMOCRAT,58916,95878,TOTAL
2016,ALABAMA,MONTGOMERY,1101,DONALD TRUMP,REPUBLICAN,34003,95878,TOTAL
2016,ALABAMA,MONTGOMERY,1101,OTHER,OTHER,2959,95878,TOTAL
2016,ALABAMA,MORGAN,1103,HILLARY CLINTON,DEMOCRAT,11254,50644,TOTAL
2016,ALABAMA,MORGAN,1103,DONALD TRUMP,REPUBLICAN,37486,50644,TOTAL
2016,ALABAMA,MORGAN,1103,OTHER,OTHER,1904,50644,TOTAL
2016,ALABAMA,PERRY,1105,HILLARY CLINTON,DEMOCRAT,3824,5278,TOTAL
2016,ALABAMA,PERRY,1105,DONALD TRUMP,REPUBLICAN,1407,5278,TOTAL
2016,ALABAMA,PERRY,1105,OTHER,OTHER,47,5278,TOTAL
2016,ALABAMA,PICKENS,1107,HILLARY CLINTON,DEMOCRAT,3972,9542,TOTAL
2016,ALABAMA,PICKENS,1107,DONALD TRUMP,REPUBLICAN,5456,9542,TOTAL
2016,ALABAMA,PICKENS,1107,OTHER,OTHER,114,9542,TOTAL
2016,ALABAMA,PIKE,1109,HILLARY CLINTON,DEMOCRAT,5056,13168,TOTAL
2016,ALABAMA,PIKE,1109,DONALD TRUMP,REPUBLICAN,7693,13168,TOTAL
2016,ALABAMA,PIKE,1109,OTHER,OTHER,419,13168,TOTAL
